        Length / m                curve1_e-field (f=1) (2)/real
----------------------------------------------------------------------
                       0                      0.29809275
               2.4960999                      0.29762674
               4.9921999                      0.29716133
               7.4882998                      0.29669654
               9.9843998                      0.29623235
               12.480499                      0.29576879
                 14.9766                      0.29530585
                 17.4727                      0.29484352
                 19.9688                      0.29438182
               22.464899                      0.29392073
               24.960999                       0.2934603
                 27.4571                      0.29300049
               29.953199                      0.29254132
               32.449299                      0.29208278
                 34.9454                      0.29162488
               37.441498                      0.29116764
               39.937599                      0.29071103
               42.433701                      0.29025509
               44.929798                      0.28979979
                 47.4259                      0.28934516
               49.921997                      0.28889118
               52.418098                      0.28843787
                 54.9142                      0.28798523
               57.410297                      0.28753326
               59.906399                      0.28708196
                 62.4025                      0.28663133
               64.898598                      0.28618138
               67.394699                      0.28573213
                 69.8908                      0.28528354
               72.386902                      0.28483565
               74.882996                      0.28438846
               77.379097                      0.28394196
               79.875198                      0.28349616
                 82.3713                      0.28305107
               84.867401                      0.28260668
               87.363495                        0.282163
               89.859596                      0.28172003
               92.355698                      0.28127776
               94.851799                      0.28083623
                 97.3479                      0.28039543
               99.843994                      0.27995533
                102.3401                      0.27951598
                104.8362                      0.27907735
                107.3323                      0.27863947
                109.8284                      0.27820231
                112.3245                      0.27776591
               114.82059                      0.27733026
                117.3167                      0.27689535
                119.8128                       0.2764612
                122.3089                      0.27602779
                 124.805                      0.27559516
               127.30109                      0.27516329
                129.7972                      0.27473218
                132.2933                      0.27430186
                134.7894                       0.2738723
               137.28549                      0.27344352
                139.7816                      0.27301552
               142.27769                      0.27258833
                144.7738                      0.27216191
                147.2699                      0.27173629
               149.76599                      0.27131146
                152.2621                      0.27088743
               154.75819                      0.27046422
                157.2543                      0.27004171
                159.7504                      0.26961973
               162.24649                      0.26919828
                164.7426                      0.26877738
               167.23869                      0.26835704
                169.7348                      0.26793725
                172.2309                      0.26751801
               174.72699                      0.26709933
                177.2231                      0.26668121
               179.71919                      0.26626366
                182.2153                      0.26584665
                184.7114                      0.26543024
               187.20749                      0.26501439
                189.7036                       0.2645991
               192.19969                       0.2641844
                194.6958                      0.26377028
               197.19189                      0.26335674
               199.68799                      0.26294379
                202.1841                      0.26253141
               204.68019                      0.26211964
                207.1763                      0.26170845
               209.67239                      0.26129785
                212.1685                      0.26088786
                214.6646                      0.26047848
               217.16069                       0.2600697
                219.6568                       0.2596615
               222.15289                      0.25925394
                 224.649                      0.25884698
                227.1451                      0.25844065
               229.64119                      0.25803492
                232.1373                      0.25762981
               234.63339                      0.25722534
                237.1295                      0.25682149
                239.6256                      0.25641827
               242.12169                      0.25601569
                244.6178                      0.25561374
               247.11389                      0.25521243
                  249.61                      0.25481175
               252.10609                      0.25441174
               254.60219                      0.25401237
                257.0983                      0.25361365
               259.59439                      0.25321557
               262.09048                      0.25281817
               264.58661                      0.25242142
                267.0827                      0.25202534
                269.5788                      0.25162991
               272.07489                      0.25123516
               274.57098                       0.2508411
               277.06711                       0.2504477
                279.5632                      0.25005497
                282.0593                      0.24966293
               284.55539                      0.24927159
               287.05148                      0.24888094
               289.54761                      0.24849096
                292.0437                      0.24810169
               294.53979                      0.24771312
               297.03589                      0.24732525
               299.53198                      0.24693808
               302.02811                      0.24655163
                304.5242                      0.24616589
               307.02029                      0.24578085
               309.51639                      0.24539655
               312.01248                      0.24501297
               314.50861                      0.24463011
                317.0047                      0.24424798
               319.50079                      0.24386634
               321.99689                      0.24348521
               324.49298                      0.24310458
               326.98911                      0.24272442
                329.4852                      0.24234477
               331.98129                      0.24196563
               334.47739                      0.24158698
               336.97348                      0.24120884
                339.4696                       0.2408312
                341.9657                      0.24045408
               344.46179                      0.24007748
               346.95789                      0.23970138
               349.45398                      0.23932579
                351.9501                      0.23895074
                354.4462                       0.2385762
               356.94229                      0.23820219
               359.43839                      0.23782871
               361.93448                      0.23745576
                364.4306                      0.23708333
                366.9267                      0.23671144
               369.42279                      0.23634008
               371.91888                      0.23596928
               374.41498                      0.23559901
                376.9111                      0.23522928
                379.4072                      0.23486011
               381.90329                      0.23449148
               384.39938                       0.2341234
               386.89548                      0.23375588
                389.3916                      0.23338892
                391.8877                      0.23302252
               394.38379                      0.23265668
               396.87988                       0.2322914
               399.37598                      0.23192671
                401.8721                      0.23156257
               404.36819                      0.23119901
               406.86429                      0.23083602
               409.36038                      0.23047363
               411.85651                       0.2301118
                414.3526                      0.22975056
               416.84869                      0.22938991
               419.34479                      0.22902986
               421.84088                      0.22867039
               424.33701                      0.22831151
                426.8331                      0.22795323
               429.32919                      0.22759557
               431.82529                       0.2272385
               434.32138                      0.22688204
                436.8175                      0.22652618
                439.3136                      0.22617096
               441.80969                      0.22581633
